x,interpolated_y
-9,-560
-8.98098,-556.113
-8.96196,-552.243
-8.94294,-548.39
-8.92392,-544.554
-8.9049,-540.734
-8.88589,-536.931
-8.86687,-533.145
-8.84785,-529.376
-8.82883,-525.623
-8.80981,-521.888
-8.79079,-518.169
-8.77177,-514.466
-8.75275,-510.781
-8.73373,-507.112
-8.71471,-503.46
-8.6957,-499.825
-8.67668,-496.206
-8.65766,-492.604
-8.63864,-489.019
-8.61962,-485.451
-8.6006,-481.899
-8.58158,-478.364
-8.56256,-474.845
-8.54354,-471.343
-8.52452,-467.858
-8.50551,-464.389
-8.48649,-460.937
-8.46747,-457.501
-8.44845,-454.082
-8.42943,-450.68
-8.41041,-447.294
-8.39139,-443.924
-8.37237,-440.571
-8.35335,-437.234
-8.33433,-433.914
-8.31532,-430.61
-8.2963,-427.322
-8.27728,-424.051
-8.25826,-420.796
-8.23924,-417.557
-8.22022,-414.335
-8.2012,-411.128
-8.18218,-407.938
-8.16316,-404.764
-8.14414,-401.607
-8.12513,-398.465
-8.10611,-395.339
-8.08709,-392.23
-8.06807,-389.136
-8.04905,-386.058
-8.03003,-382.997
-8.01101,-379.951
-7.99199,-376.921
-7.97297,-373.907
-7.95395,-370.909
-7.93493,-367.927
-7.91592,-364.96
-7.8969,-362.009
-7.87788,-359.074
-7.85886,-356.154
-7.83984,-353.25
-7.82082,-350.362
-7.8018,-347.489
-7.78278,-344.631
-7.76376,-341.79
-7.74474,-338.963
-7.72573,-336.152
-7.70671,-333.356
-7.68769,-330.576
-7.66867,-327.811
-7.64965,-325.061
-7.63063,-322.326
-7.61161,-319.606
-7.59259,-316.902
-7.57357,-314.213
-7.55455,-311.538
-7.53554,-308.879
-7.51652,-306.235
-7.4975,-303.605
-7.47848,-300.991
-7.45946,-298.391
-7.44044,-295.807
-7.42142,-293.237
-7.4024,-290.681
-7.38338,-288.141
-7.36436,-285.615
-7.34535,-283.103
-7.32633,-280.607
-7.30731,-278.124
-7.28829,-275.657
-7.26927,-273.203
-7.25025,-270.764
-7.23123,-268.34
-7.21221,-265.93
-7.19319,-263.534
-7.17417,-261.152
-7.15516,-258.785
-7.13614,-256.431
-7.11712,-254.092
-7.0981,-251.767
-7.07908,-249.456
-7.06006,-247.159
-7.04104,-244.876
-7.02202,-242.607
-7.003,-240.351
-6.98398,-238.11
-6.96496,-235.882
-6.94595,-233.668
-6.92693,-231.468
-6.90791,-229.281
-6.88889,-227.108
-6.86987,-224.949
-6.85085,-222.803
-6.83183,-220.67
-6.81281,-218.551
-6.79379,-216.446
-6.77477,-214.354
-6.75576,-212.275
-6.73674,-210.209
-6.71772,-208.157
-6.6987,-206.118
-6.67968,-204.091
-6.66066,-202.079
-6.64164,-200.079
-6.62262,-198.092
-6.6036,-196.118
-6.58458,-194.157
-6.56557,-192.209
-6.54655,-190.274
-6.52753,-188.351
-6.50851,-186.442
-6.48949,-184.545
-6.47047,-182.661
-6.45145,-180.789
-6.43243,-178.93
-6.41341,-177.084
-6.39439,-175.25
-6.37538,-173.428
-6.35636,-171.619
-6.33734,-169.823
-6.31832,-168.039
-6.2993,-166.267
-6.28028,-164.507
-6.26126,-162.759
-6.24224,-161.024
-6.22322,-159.301
-6.2042,-157.59
-6.18519,-155.891
-6.16617,-154.203
-6.14715,-152.528
-6.12813,-150.865
-6.10911,-149.214
-6.09009,-147.574
-6.07107,-145.947
-6.05205,-144.331
-6.03303,-142.726
-6.01401,-141.134
-5.99499,-139.553
-5.97598,-137.983
-5.95696,-136.426
-5.93794,-134.879
-5.91892,-133.344
-5.8999,-131.821
-5.88088,-130.309
-5.86186,-128.808
-5.84284,-127.318
-5.82382,-125.84
-5.8048,-124.373
-5.78579,-122.917
-5.76677,-121.472
-5.74775,-120.039
-5.72873,-118.616
-5.70971,-117.204
-5.69069,-115.804
-5.67167,-114.414
-5.65265,-113.035
-5.63363,-111.667
-5.61461,-110.309
-5.5956,-108.963
-5.57658,-107.627
-5.55756,-106.301
-5.53854,-104.987
-5.51952,-103.683
-5.5005,-102.389
-5.48148,-101.106
-5.46246,-99.8334
-5.44344,-98.5711
-5.42442,-97.3193
-5.40541,-96.0777
-5.38639,-94.8465
-5.36737,-93.6255
-5.34835,-92.4146
-5.32933,-91.214
-5.31031,-90.0234
-5.29129,-88.843
-5.27227,-87.6725
-5.25325,-86.5121
-5.23423,-85.3615
-5.21522,-84.2209
-5.1962,-83.0902
-5.17718,-81.9693
-5.15816,-80.8582
-5.13914,-79.7568
-5.12012,-78.6651
-5.1011,-77.5831
-5.08208,-76.5106
-5.06306,-75.4478
-5.04404,-74.3945
-5.02503,-73.3507
-5.00601,-72.3163
-4.98699,-71.2914
-4.96797,-70.2758
-4.94895,-69.2695
-4.92993,-68.2726
-4.91091,-67.2848
-4.89189,-66.3063
-4.87287,-65.337
-4.85385,-64.3767
-4.83483,-63.4256
-4.81582,-62.4834
-4.7968,-61.5503
-4.77778,-60.6261
-4.75876,-59.7109
-4.73974,-58.8045
-4.72072,-57.907
-4.7017,-57.0182
-4.68268,-56.1382
-4.66366,-55.2669
-4.64464,-54.4043
-4.62563,-53.5503
-4.60661,-52.7048
-4.58759,-51.868
-4.56857,-51.0396
-4.54955,-50.2197
-4.53053,-49.4082
-4.51151,-48.6051
-4.49249,-47.8103
-4.47347,-47.0238
-4.45445,-46.2456
-4.43544,-45.4756
-4.41642,-44.7137
-4.3974,-43.96
-4.37838,-43.2144
-4.35936,-42.4769
-4.34034,-41.7473
-4.32132,-41.0257
-4.3023,-40.3121
-4.28328,-39.6063
-4.26426,-38.9084
-4.24525,-38.2182
-4.22623,-37.5359
-4.20721,-36.8612
-4.18819,-36.1943
-4.16917,-35.5349
-4.15015,-34.8832
-4.13113,-34.239
-4.11211,-33.6024
-4.09309,-32.9732
-4.07407,-32.3515
-4.05506,-31.7371
-4.03604,-31.1301
-4.01702,-30.5304
-3.998,-29.938
-3.97898,-29.3528
-3.95996,-28.7748
-3.94094,-28.2039
-3.92192,-27.6401
-3.9029,-27.0834
-3.88388,-26.5338
-3.86486,-25.9911
-3.84585,-25.4553
-3.82683,-24.9264
-3.80781,-24.4044
-3.78879,-23.8892
-3.76977,-23.3808
-3.75075,-22.8792
-3.73173,-22.3842
-3.71271,-21.8958
-3.69369,-21.4141
-3.67467,-20.939
-3.65566,-20.4703
-3.63664,-20.0082
-3.61762,-19.5525
-3.5986,-19.1032
-3.57958,-18.6603
-3.56056,-18.2237
-3.54154,-17.7933
-3.52252,-17.3693
-3.5035,-16.9514
-3.48448,-16.5396
-3.46547,-16.134
-3.44645,-15.7345
-3.42743,-15.341
-3.40841,-14.9535
-3.38939,-14.5719
-3.37037,-14.1962
-3.35135,-13.8265
-3.33233,-13.4625
-3.31331,-13.1043
-3.29429,-12.7519
-3.27528,-12.4052
-3.25626,-12.0641
-3.23724,-11.7287
-3.21822,-11.3988
-3.1992,-11.0745
-3.18018,-10.7557
-3.16116,-10.4423
-3.14214,-10.1344
-3.12312,-9.83181
-3.1041,-9.53456
-3.08509,-9.24261
-3.06607,-8.95591
-3.04705,-8.67442
-3.02803,-8.39809
-3.00901,-8.12689
-2.98999,-7.86078
-2.97097,-7.59971
-2.95195,-7.34364
-2.93293,-7.09253
