n,rectangle,trapezoid,simpson,exact
2,-22776.7,-175827,-117336,-68495.3
4,-53641.4,-99301.8,-73793.4,-68495.3
8,-64542.3,-76471.6,-68861.5,-68495.3
16,-67491.7,-70507,-68518.8,-68495.3
32,-68243.4,-68999.3,-68496.8,-68495.3
64,-68432.3,-68621.4,-68495.4,-68495.3
128,-68479.6,-68526.8,-68495.3,-68495.3
256,-68491.4,-68503.2,-68495.3,-68495.3
512,-68494.3,-68497.3,-68495.3,-68495.3
1024,-68495.1,-68495.8,-68495.3,-68495.3
2048,-68495.3,-68495.4,-68495.3,-68495.3
4096,-68495.3,-68495.3,-68495.3,-68495.3
