# x	f(x)	F(x)	error
1.5	-6.2084	-6.65204	0.443633
1.5015	-6.21864	-6.63285	0.414214
1.503	-6.2286	-6.61433	0.385733
1.5045	-6.23828	-6.59645	0.358171
1.506	-6.24767	-6.57919	0.331511
1.5075	-6.25679	-6.56252	0.305735
1.509	-6.26561	-6.54644	0.280825
1.5105	-6.27415	-6.53091	0.256765
1.512	-6.28239	-6.51593	0.233537
1.5135	-6.29034	-6.50147	0.211124
1.515	-6.29799	-6.4875	0.189511
1.5165	-6.30534	-6.47402	0.16868
1.518	-6.31239	-6.46101	0.148615
1.5195	-6.31914	-6.44844	0.129301
1.521	-6.32557	-6.43629	0.110722
1.5225	-6.3317	-6.42456	0.0928621
1.524	-6.33751	-6.41322	0.0757062
1.5255	-6.34301	-6.40225	0.0592391
1.527	-6.34819	-6.39164	0.0434458
1.5285	-6.35305	-6.38136	0.0283117
1.53	-6.35759	-6.37141	0.0138221
1.5315	-6.36181	-6.36177	-3.7211e-05
1.533	-6.36569	-6.35241	-0.0132805
1.5345	-6.36925	-6.34333	-0.0259216
1.536	-6.37248	-6.33451	-0.0379744
1.5375	-6.37537	-6.32592	-0.0494525
1.539	-6.37793	-6.31756	-0.0603693
1.5405	-6.38015	-6.30941	-0.0707379
1.542	-6.38203	-6.30146	-0.0805715
1.5435	-6.38357	-6.29368	-0.0898829
1.545	-6.38476	-6.28607	-0.0986847
1.5465	-6.3856	-6.27861	-0.10699
1.548	-6.3861	-6.27129	-0.11481
1.5495	-6.38625	-6.26409	-0.122157
1.551	-6.38604	-6.25699	-0.129044
1.5525	-6.38547	-6.24999	-0.135482
1.554	-6.38455	-6.24307	-0.141483
1.5555	-6.38327	-6.23621	-0.147058
1.557	-6.38163	-6.22941	-0.152218
1.5585	-6.37963	-6.22265	-0.156976
1.56	-6.37726	-6.21592	-0.16134
1.5615	-6.37452	-6.2092	-0.165323
1.563	-6.37141	-6.20248	-0.168936
1.5645	-6.36794	-6.19575	-0.172187
1.566	-6.36409	-6.189	-0.175088
1.5675	-6.35986	-6.18221	-0.17765
1.569	-6.35526	-6.17538	-0.179881
1.5705	-6.35028	-6.16849	-0.181791
1.572	-6.34493	-6.16154	-0.183391
1.5735	-6.33919	-6.1545	-0.18469
1.575	-6.33306	-6.14737	-0.185697
1.5765	-6.32656	-6.14014	-0.186422
1.578	-6.31966	-6.13279	-0.186873
